:START_ID,:END_ID,Relationship,:TYPE
institution_46936,institution_60797,cooperation,Institution_cooperation_patent
institution_60797,institution_46936,cooperation,Institution_cooperation_patent
institution_90276,institution_92936,cooperation,Institution_cooperation_patent
institution_92936,institution_90276,cooperation,Institution_cooperation_patent
institution_47531,institution_151218,cooperation,Institution_cooperation_patent
institution_151218,institution_47531,cooperation,Institution_cooperation_patent
institution_92936,institution_147090,cooperation,Institution_cooperation_patent
institution_147090,institution_92936,cooperation,Institution_cooperation_patent
institution_38568,institution_38569,cooperation,Institution_cooperation_patent
institution_38569,institution_38568,cooperation,Institution_cooperation_patent
institution_46925,institution_60797,cooperation,Institution_cooperation_patent
institution_60797,institution_46925,cooperation,Institution_cooperation_patent
institution_47531,institution_60797,cooperation,Institution_cooperation_patent
institution_60797,institution_47531,cooperation,Institution_cooperation_patent
institution_40936,institution_155232,cooperation,Institution_cooperation_patent
institution_155232,institution_40936,cooperation,Institution_cooperation_patent
institution_40936,institution_155234,cooperation,Institution_cooperation_patent
institution_155234,institution_40936,cooperation,Institution_cooperation_patent
institution_155232,institution_155234,cooperation,Institution_cooperation_patent
institution_155234,institution_155232,cooperation,Institution_cooperation_patent
institution_40931,institution_134723,cooperation,Institution_cooperation_patent
institution_134723,institution_40931,cooperation,Institution_cooperation_patent
institution_30724,institution_101370,cooperation,Institution_cooperation_patent
institution_101370,institution_30724,cooperation,Institution_cooperation_patent
institution_30724,institution_108403,cooperation,Institution_cooperation_patent
institution_108403,institution_30724,cooperation,Institution_cooperation_patent
institution_101370,institution_108403,cooperation,Institution_cooperation_patent
institution_108403,institution_101370,cooperation,Institution_cooperation_patent
institution_114929,institution_152091,cooperation,Institution_cooperation_patent
institution_152091,institution_114929,cooperation,Institution_cooperation_patent
institution_14266,institution_116265,cooperation,Institution_cooperation_patent
institution_116265,institution_14266,cooperation,Institution_cooperation_patent
institution_10171,institution_12232,cooperation,Institution_cooperation_patent
institution_12232,institution_10171,cooperation,Institution_cooperation_patent
institution_10171,institution_15701,cooperation,Institution_cooperation_patent
institution_15701,institution_10171,cooperation,Institution_cooperation_patent
institution_10171,institution_101489,cooperation,Institution_cooperation_patent
institution_101489,institution_10171,cooperation,Institution_cooperation_patent
